iter	Logloss
0	0.6885265523
1	0.6863008868
2	0.6838571469
3	0.6788487236
4	0.6742639831
5	0.6704119948
6	0.6672970501
7	0.664595272
8	0.6623112561
9	0.6580113533
10	0.6557602071
11	0.6538865503
12	0.6501332473
13	0.646800398
14	0.6443116228
15	0.6421455263
16	0.6400495891
17	0.6382339184
18	0.6356010125
19	0.6328621141
20	0.631989398
21	0.6291237978
22	0.6276212472
23	0.6260491461
24	0.6240571211
25	0.6207263771
26	0.6182491321
27	0.6169034231
28	0.6150128322
29	0.6118651081
30	0.6109676031
31	0.6096124887
32	0.607490735
33	0.6049488338
34	0.603464938
35	0.6030973142
36	0.601612424
37	0.5995847043
38	0.5977473246
39	0.5963767349
40	0.5956249422
41	0.593544213
42	0.592414021
43	0.5915568991
44	0.5908963193
45	0.5895651291
46	0.5889598182
47	0.5878599802
48	0.586534345
49	0.584697418
50	0.5834668099
51	0.5814574588
52	0.580685623
53	0.5784850057
54	0.5772385611
55	0.5771489064
