iter	Passed	Remaining
0	79	119578
1	93	69946
2	101	50647
3	112	42030
4	119	35659
5	124	31009
6	130	27900
7	140	26120
8	147	24422
9	153	22866
10	159	21574
11	165	20491
12	172	19780
13	185	19658
14	194	19235
15	201	18675
16	209	18253
17	218	18007
18	226	17693
19	235	17426
20	244	17239
21	253	17015
22	259	16684
23	266	16361
24	271	16042
25	278	15806
26	287	15691
27	293	15447
28	299	15214
29	306	15011
30	313	14849
31	319	14663
32	326	14504
33	333	14359
34	338	14148
35	343	13976
36	348	13793
37	354	13632
38	360	13517
39	366	13382
40	372	13262
41	379	13160
42	385	13068
43	392	13001
44	400	12954
45	412	13033
46	419	12966
47	427	12940
48	439	13010
49	449	13036
50	458	13031
51	469	13078
52	475	12993
53	483	12948
54	489	12869
55	495	12776
56	504	12762
57	511	12726
58	519	12692
59	527	12666
60	535	12633
61	544	12623
62	557	12709
63	565	12677
64	575	12712
65	606	13179
66	615	13157
67	636	13409
68	654	13580
69	661	13506
70	669	13473
71	676	13417
72	685	13393
73	696	13414
74	709	13474
75	723	13562
76	740	13692
77	752	13711
78	759	13659
79	769	13653
80	778	13630
81	784	13570
82	797	13618
83	803	13543
84	806	13428
85	811	13347
86	818	13289
87	824	13228
88	831	13176
89	842	13198
90	849	13148
91	854	13081
92	861	13033
93	867	12975
94	874	12931
95	880	12874
96	891	12891
97	897	12841
98	904	12802
99	911	12759
100	917	12710
101	927	12705
102	936	12703
103	944	12672
104	952	12648
105	958	12602
106	964	12561
107	971	12527
108	981	12521
109	987	12481
110	994	12442
111	1000	12404
112	1006	12357
113	1013	12321
114	1019	12283
115	1025	12235
116	1032	12203
117	1039	12171
118	1044	12125
119	1050	12083
120	1057	12049
121	1064	12018
122	1069	11976
123	1076	11947
124	1082	11905
125	1089	11876
126	1095	11846
127	1101	11803
128	1108	11776
129	1122	11832
130	1128	11789
131	1137	11783
132	1148	11802
133	1156	11792
134	1168	11815
135	1175	11792
136	1185	11798
137	1197	11816
138	1209	11847
139	1220	11855
140	1231	11874
141	1245	11907
142	1256	11924
143	1275	12010
144	1289	12046
145	1295	12011
146	1302	11988
147	1309	11960
148	1316	11933
149	1324	11919
150	1330	11887
151	1337	11860
152	1344	11835
153	1349	11798
154	1357	11779
155	1364	11753
156	1370	11726
157	1377	11697
158	1384	11673
159	1390	11647
160	1396	11617
161	1404	11598
162	1410	11571
163	1419	11563
164	1427	11551
165	1433	11519
166	1441	11506
167	1448	11485
168	1454	11454
169	1461	11431
170	1471	11437
171	1479	11424
172	1485	11395
173	1492	11372
174	1503	11385
175	1510	11363
176	1520	11361
177	1530	11363
178	1537	11346
179	1544	11325
180	1550	11299
181	1556	11268
182	1560	11233
183	1570	11230
184	1577	11212
185	1583	11186
186	1590	11165
187	1596	11143
188	1623	11258
189	1630	11244
190	1641	11247
191	1650	11241
192	1658	11229
193	1672	11260
194	1680	11248
195	1688	11232
196	1697	11229
197	1706	11220
198	1719	11244
199	1726	11221
200	1733	11200
201	1738	11173
202	1747	11163
203	1773	11265
204	1780	11247
205	1787	11225
206	1793	11203
207	1802	11197
208	1809	11177
209	1818	11171
210	1824	11144
211	1831	11125
212	1836	11098
213	1842	11072
214	1848	11045
215	1856	11034
216	1865	11029
217	1871	11003
218	1876	10975
219	1883	10957
220	1889	10937
221	1897	10922
222	1902	10895
223	1908	10871
224	1915	10851
225	1922	10836
226	1927	10811
227	1933	10787
228	1939	10764
229	1946	10749
230	1952	10725
231	1959	10709
232	1966	10694
233	1973	10675
234	1980	10659
235	1986	10639
236	1992	10619
237	1999	10603
238	2006	10585
239	2014	10576
240	2020	10554
241	2027	10537
242	2034	10522
243	2040	10505
244	2049	10498
245	2055	10478
246	2064	10472
247	2072	10464
248	2110	10601
249	2116	10584
250	2123	10567
251	2130	10549
252	2138	10538
253	2147	10532
254	2154	10519
255	2163	10515
256	2173	10511
257	2181	10503
258	2188	10487
259	2195	10468
260	2202	10455
261	2208	10436
262	2215	10422
263	2223	10407
264	2229	10391
265	2238	10384
266	2245	10370
267	2252	10352
268	2260	10345
269	2269	10338
270	2276	10321
271	2282	10304
272	2288	10283
273	2294	10267
274	2301	10251
275	2308	10238
276	2315	10222
277	2321	10205
278	2328	10189
279	2334	10171
280	2342	10161
281	2353	10165
282	2360	10150
283	2367	10136
284	2373	10118
285	2380	10102
286	2386	10087
287	2394	10075
288	2401	10063
289	2408	10047
290	2414	10031
291	2421	10016
292	2427	10001
293	2435	9990
294	2443	9979
295	2449	9961
296	2454	9943
297	2462	9931
298	2468	9916
299	2477	9908
300	2482	9889
301	2488	9871
302	2499	9873
303	2508	9868
304	2517	9865
305	2530	9874
306	2539	9867
307	2549	9865
308	2556	9854
309	2567	9856
310	2584	9881
311	2596	9886
312	2607	9889
313	2617	9885
314	2624	9873
315	2631	9859
316	2638	9844
317	2645	9833
318	2652	9821
319	2659	9807
320	2666	9794
321	2672	9778
322	2679	9763
323	2685	9745
324	2691	9729
325	2698	9718
326	2705	9704
327	2711	9688
328	2719	9677
329	2725	9663
330	2732	9649
331	2738	9633
332	2744	9619
333	2752	9607
334	2758	9594
335	2765	9581
336	2771	9565
337	2778	9553
338	2787	9546
339	2794	9534
340	2801	9520
341	2806	9503
342	2813	9490
343	2819	9476
344	2825	9460
345	2831	9444
346	2841	9442
347	2850	9434
348	2856	9419
349	2862	9405
350	2868	9390
351	2875	9376
352	2882	9364
353	2887	9347
354	2895	9337
355	2901	9325
356	2908	9311
357	2915	9299
358	2920	9283
359	2926	9267
360	2932	9252
361	2938	9236
362	2945	9226
363	2952	9213
364	2959	9203
365	2965	9188
366	2972	9177
367	2981	9172
368	2989	9162
369	2998	9157
370	3004	9144
371	3012	9133
372	3018	9120
373	3025	9107
374	3031	9093
375	3038	9082
376	3046	9074
377	3053	9062
378	3059	9049
379	3077	9069
380	3086	9064
381	3093	9054
382	3103	9051
383	3112	9046
384	3121	9040
385	3130	9033
386	3139	9028
387	3147	9020
388	3155	9012
389	3165	9010
390	3173	9000
391	3181	8993
392	3190	8987
393	3198	8978
394	3206	8970
395	3214	8962
396	3222	8952
397	3230	8945
398	3238	8936
399	3247	8931
400	3256	8924
401	3264	8917
402	3278	8924
403	3285	8913
404	3293	8904
405	3304	8903
406	3311	8893
407	3321	8890
408	3329	8882
409	3338	8874
410	3346	8868
411	3358	8868
412	3371	8872
413	3380	8866
414	3387	8857
415	3397	8852
416	3406	8847
417	3415	8841
418	3423	8831
419	3431	8825
420	3439	8815
421	3449	8812
422	3458	8806
423	3469	8804
424	3477	8795
425	3485	8788
426	3494	8781
427	3503	8773
428	3510	8764
429	3519	8757
430	3527	8749
431	3536	8743
432	3545	8735
433	3570	8769
434	3579	8762
435	3586	8753
436	3595	8745
437	3607	8747
438	3626	8764
439	3634	8756
440	3643	8749
441	3654	8747
442	3661	8736
443	3670	8729
444	3676	8716
445	3682	8702
446	3687	8687
447	3695	8678
448	3703	8668
449	3709	8655
450	3715	8642
451	3721	8629
452	3728	8617
453	3734	8603
454	3740	8590
455	3748	8581
456	3756	8573
457	3768	8574
458	3776	8565
459	3787	8563
460	3801	8568
461	3809	8558
462	3819	8555
463	3827	8546
464	3838	8544
465	3850	8543
466	3858	8536
467	3867	8528
468	3875	8519
469	3884	8512
470	3895	8509
471	3905	8505
472	3913	8496
473	3920	8487
474	3929	8478
475	3937	8471
476	3951	8475
477	3965	8479
478	3976	8476
479	3987	8474
480	4003	8481
481	4014	8478
482	4024	8474
483	4036	8472
484	4052	8480
485	4073	8498
486	4086	8499
487	4097	8496
488	4107	8492
489	4118	8488
490	4129	8485
491	4138	8478
492	4147	8472
493	4155	8462
494	4163	8453
495	4171	8443
496	4179	8435
497	4191	8433
498	4198	8422
499	4206	8413
500	4214	8404
501	4226	8403
502	4237	8399
503	4246	8392
504	4255	8383
505	4263	8375
