iter	Logloss
0	0.6906934533
1	0.6878941338
2	0.6855996531
3	0.683273633
4	0.6812201015
5	0.6788932036
6	0.6766220606
7	0.6748298005
8	0.6730349014
9	0.6707807221
10	0.6685264345
11	0.6666008305
12	0.6649919745
13	0.6631194916
14	0.6611440991
15	0.659809791
16	0.6577828051
17	0.655997287
18	0.6541055355
19	0.6525641946
20	0.6508067412
21	0.6489081869
22	0.6472966086
23	0.6458371285
24	0.644719929
25	0.6430252936
26	0.6419084258
27	0.6411865629
28	0.6401594178
29	0.6388044807
30	0.6377764616
31	0.6364139597
32	0.6356751782
33	0.634236465
34	0.6332442694
35	0.6319437848
36	0.6309706455
37	0.6299097662
38	0.6290082565
39	0.6282817163
40	0.6274030592
41	0.6264881732
42	0.6253342512
43	0.6242415119
44	0.6233317063
45	0.6225548629
46	0.6218271961
47	0.6213596581
48	0.6203285142
49	0.6194808693
50	0.6186060571
51	0.6182563457
52	0.6172698827
53	0.616263182
54	0.6154894794
55	0.6145386394
56	0.6142386148
57	0.6132258618
58	0.6129434147
59	0.6121028669
60	0.6115503748
61	0.6108467579
62	0.610198775
63	0.6093664525
64	0.6086597998
65	0.607785173
66	0.6071767438
67	0.6063224257
68	0.6056422808
69	0.6048853682
70	0.6043856956
71	0.6037703812
72	0.6033471217
73	0.6023980602
74	0.6018071039
75	0.6011916932
76	0.6006217878
77	0.600398292
78	0.5996954737
79	0.5989059214
80	0.598235991
81	0.5977299176
82	0.5971221061
83	0.5964808857
84	0.5957859014
85	0.5949470175
86	0.5945456026
87	0.5939997557
88	0.5936054329
89	0.5932760856
90	0.5926583105
91	0.5922935706
92	0.5917117306
93	0.5912913326
94	0.5911993835
95	0.5905724137
96	0.590293575
97	0.5896874834
98	0.5893307094
99	0.5887968169
100	0.5884857876
101	0.5880774104
102	0.5877118566
103	0.5871935255
104	0.5863697267
105	0.5859695901
106	0.5855432765
107	0.5853121468
108	0.584812607
109	0.5842280437
110	0.5838141499
111	0.5832278815
112	0.5826985402
113	0.5821497445
114	0.5818578114
115	0.5812292323
116	0.5806889617
117	0.5801417087
118	0.5795167177
119	0.5790354278
120	0.5789061366
121	0.5786011455
122	0.5780470206
123	0.5777201833
124	0.5774760192
125	0.5770531993
126	0.5765945535
127	0.5757798147
128	0.5753832598
129	0.5751882726
130	0.5747060759
131	0.5743251483
132	0.5739134719
133	0.5737767306
134	0.5732131233
135	0.5729386372
136	0.5723830419
137	0.5717928789
138	0.5713521523
139	0.5710479368
140	0.5706669231
141	0.5706158798
142	0.5702429006
143	0.5696353326
144	0.5692975069
145	0.5689688681
146	0.5688770961
147	0.568178176
148	0.5677226982
149	0.5674608236
150	0.56744644
151	0.5668475894
152	0.5664538814
153	0.5661768974
154	0.5659745365
155	0.5655948105
156	0.5654103616
157	0.5647965322
158	0.5644550138
159	0.5641596651
160	0.5638157101
161	0.5631934725
162	0.5628860626
163	0.5624974755
164	0.5622531862
165	0.5616585164
166	0.5613153391
167	0.5612745476
168	0.5607633645
169	0.5607234575
170	0.5603329797
171	0.5603262674
172	0.5599353268
173	0.5595364829
174	0.5592789787
175	0.5589380025
176	0.5585549207
177	0.5581694938
178	0.5578452337
179	0.5575602512
180	0.5572149961
181	0.5571719477
182	0.5570489151
183	0.5567891176
184	0.5562581669
185	0.5559579596
186	0.5557079782
187	0.5556971136
188	0.5555068144
189	0.5546562259
190	0.5543644753
191	0.5539832544
192	0.5537208884
193	0.5535918826
194	0.553198302
195	0.5530729198
196	0.5530379663
197	0.5528691374
198	0.5527319014
199	0.5523881513
200	0.5523728062
201	0.5521914938
202	0.5519187638
203	0.5515724724
204	0.5514497557
205	0.5509612775
206	0.5505281834
207	0.5505264501
208	0.5503548857
209	0.5499798883
210	0.5497854983
211	0.5493095723
212	0.5490370648
213	0.5487736622
214	0.5484499317
215	0.5482192826
216	0.5478492189
217	0.5474698617
218	0.5469033075
219	0.5468533667
220	0.546820393
221	0.5464822411
222	0.5459480149
223	0.5457206917
224	0.5454960421
225	0.544992801
226	0.5446768258
227	0.5444411591
228	0.544289859
229	0.5442394294
230	0.5440999221
231	0.5438105799
232	0.5435988622
233	0.5434482936
234	0.5431259012
235	0.5429201707
236	0.5426545017
237	0.5425540826
238	0.5423408493
239	0.54202838
240	0.541669144
241	0.5413566628
242	0.5410607892
243	0.5410013276
244	0.5405644016
245	0.5404611803
246	0.5402364026
247	0.5400906147
248	0.539974896
249	0.539821126
250	0.5394438602
251	0.5391880693
252	0.5388749991
253	0.5386378715
254	0.5384907585
255	0.5381467847
256	0.5381466145
257	0.5379049728
258	0.5377112255
259	0.5372479817
260	0.5371124669
261	0.5367869174
262	0.536576869
263	0.5362410087
264	0.5358688117
265	0.5355860496
266	0.5351581331
267	0.5348992356
268	0.5343973675
269	0.5342634749
270	0.5338077198
271	0.5335919482
272	0.5334751324
273	0.5329420425
274	0.5326650631
275	0.5322312254
276	0.531905071
277	0.5318117887
278	0.5316372361
279	0.5313940386
280	0.5311945734
281	0.5310903631
