iter	Passed	Remaining
0	77	76957
1	85	42675
2	93	30982
3	100	24970
4	105	20939
5	110	18231
6	113	16162
7	115	14361
8	117	12958
9	121	12001
10	124	11197
11	127	10520
12	130	9926
13	134	9481
14	137	9040
15	139	8569
16	142	8214
17	145	7916
18	148	7644
19	151	7410
20	154	7194
21	157	6995
22	160	6812
23	162	6625
24	164	6422
25	167	6262
26	169	6113
27	171	5950
28	173	5823
29	176	5714
30	179	5624
31	183	5536
32	184	5411
33	187	5331
34	189	5234
35	192	5162
36	195	5096
37	198	5034
38	201	4973
39	203	4884
40	206	4820
41	208	4760
42	211	4714
43	214	4667
44	217	4623
45	220	4578
46	223	4537
47	225	4472
48	228	4425
49	230	4388
50	233	4354
51	235	4295
52	238	4257
53	241	4237
54	246	4237
55	249	4211
56	250	4150
57	253	4123
58	255	4073
59	258	4043
60	260	4012
61	263	3991
62	266	3962
63	269	3941
64	272	3920
65	275	3902
66	278	3883
67	282	3868
68	285	3850
69	288	3837
70	292	3823
71	294	3799
72	298	3795
73	301	3778
74	305	3766
75	308	3750
76	311	3737
77	313	3705
78	316	3688
79	318	3667
80	322	3654
81	325	3640
82	328	3627
83	331	3612
84	334	3604
85	337	3591
86	340	3576
87	343	3562
88	346	3545
89	349	3532
90	351	3514
91	354	3500
92	357	3491
93	361	3483
94	362	3457
95	365	3443
96	368	3433
97	371	3419
98	374	3407
99	377	3396
100	380	3389
101	383	3379
102	386	3368
103	391	3374
104	394	3360
105	397	3349
106	399	3337
107	403	3329
108	406	3321
109	411	3325
110	413	3312
111	416	3304
112	420	3301
113	423	3292
114	427	3287
115	430	3279
116	433	3269
117	436	3259
118	439	3250
119	442	3242
120	444	3225
121	447	3217
122	450	3211
123	453	3202
124	456	3195
125	459	3186
126	462	3179
127	465	3171
128	468	3165
129	472	3160
130	475	3152
131	478	3145
132	480	3134
133	482	3120
134	485	3111
135	488	3100
136	490	3092
137	494	3087
138	497	3081
139	501	3081
140	506	3087
141	508	3075
142	513	3075
143	516	3070
144	519	3063
145	523	3060
146	525	3048
147	528	3041
148	531	3035
149	534	3029
150	536	3013
151	538	3006
152	541	3000
153	544	2993
154	548	2991
155	552	2987
156	555	2983
157	558	2977
158	561	2968
159	564	2965
160	567	2959
161	571	2954
162	574	2947
163	577	2942
164	579	2934
165	583	2929
166	586	2924
167	588	2914
168	591	2908
169	593	2896
170	595	2889
171	597	2876
172	600	2869
173	603	2864
174	606	2859
175	610	2856
176	612	2849
177	615	2844
178	619	2840
179	622	2836
180	625	2831
181	628	2823
182	631	2818
183	634	2815
184	637	2810
185	641	2806
186	643	2798
187	645	2786
188	647	2779
189	650	2773
190	653	2768
191	656	2762
192	659	2756
193	662	2751
194	665	2746
195	668	2741
196	670	2732
197	672	2725
198	676	2722
199	678	2715
200	680	2705
201	683	2698
202	686	2694
203	689	2691
204	692	2684
205	695	2679
206	698	2676
207	700	2668
208	703	2661
209	706	2657
210	709	2652
211	712	2647
212	715	2643
213	718	2638
214	721	2634
215	724	2628
216	727	2623
217	730	2619
218	733	2615
219	735	2607
220	736	2596
221	739	2591
222	742	2587
223	745	2582
224	748	2578
225	751	2574
226	754	2570
227	758	2567
228	760	2562
229	763	2555
230	766	2551
231	769	2547
232	772	2543
233	775	2537
234	778	2534
235	781	2528
236	784	2524
237	787	2521
238	790	2517
239	793	2513
240	797	2510
241	800	2506
242	803	2502
243	806	2500
244	810	2496
245	813	2493
246	816	2488
247	819	2485
248	823	2482
249	826	2479
250	829	2475
251	832	2472
252	835	2467
253	838	2463
254	841	2459
255	845	2456
256	846	2448
257	849	2443
258	852	2440
259	855	2435
260	858	2431
261	864	2434
262	867	2429
263	871	2430
264	874	2426
265	877	2422
266	880	2418
267	885	2418
268	890	2419
269	892	2414
270	896	2411
271	899	2408
272	902	2403
273	905	2399
274	908	2395
275	911	2390
276	913	2385
277	917	2381
278	919	2376
279	922	2373
280	925	2367
281	928	2363
282	931	2358
283	933	2353
284	936	2350
285	939	2346
286	943	2344
287	946	2340
288	949	2336
289	953	2333
290	955	2328
291	957	2321
292	960	2317
293	963	2314
294	966	2309
295	969	2306
296	975	2309
297	983	2315
298	987	2315
299	992	2315
300	997	2316
301	1001	2315
302	1006	2314
303	1011	2315
304	1015	2313
305	1020	2315
306	1025	2315
307	1030	2316
308	1035	2315
309	1040	2315
310	1044	2313
311	1049	2314
312	1054	2313
313	1057	2310
314	1062	2309
315	1067	2309
316	1071	2309
317	1076	2309
318	1081	2308
319	1085	2306
320	1089	2304
321	1092	2301
322	1096	2297
323	1099	2293
324	1102	2288
325	1104	2284
326	1107	2280
327	1112	2279
328	1115	2274
329	1118	2271
330	1121	2267
331	1124	2263
332	1127	2259
333	1130	2254
334	1133	2250
335	1136	2246
336	1139	2241
337	1142	2237
338	1145	2233
339	1148	2230
340	1152	2226
341	1154	2220
342	1157	2217
343	1160	2212
344	1163	2209
345	1166	2205
346	1167	2197
347	1170	2192
348	1174	2190
349	1177	2186
350	1179	2181
351	1183	2178
352	1185	2173
353	1188	2168
354	1191	2164
355	1193	2159
356	1196	2154
357	1198	2149
358	1201	2144
359	1204	2140
360	1207	2137
361	1209	2131
362	1211	2125
363	1213	2120
364	1216	2116
365	1218	2111
366	1221	2107
367	1224	2103
368	1227	2099
369	1231	2096
370	1234	2092
371	1235	2086
372	1238	2081
373	1241	2077
374	1244	2073
375	1246	2069
376	1249	2065
