driver_age,driver_experience,vehicle_age,vehicle_type,engine_power,vehicle_purpose,region,pct_days_with_snow,pct_days_with_rain,winter_duration_months,base_kbm,num_claims,violation_count,days_since_last_claim,occupation_type,avg_trips_per_week,night_driving_ratio,ko_multiplier,num_owned_vehicles,target
41,19,4,sedan,105,personal,rural,0.5,0.4821205209221612,6,0.9,0,1,320,office_worker,12.579266421971294,6.890056129051599e-09,1.0,3,1
36,12,11,sedan,100,personal,Moscow,0.35,0.3793656812188389,5,1.0,3,1,544,office_worker,6.237423207082031,0.003008408930010072,1.0,1,1
43,15,3,sedan,196,personal,urban,0.3,0.9131716372464875,4,1.17,0,0,403,office_worker,3.160334170817141,0.0031915819499740744,1.0,1,0
50,12,3,sedan,154,personal,Moscow,0.35,0.6592647579975585,5,1.0,0,1,815,office_worker,3.938861617809124,2.3545426893949385e-05,1.0,1,0
36,12,5,suv,164,personal,Moscow,0.35,0.575055314438026,5,0.9,0,0,34,office_worker,9.897092236020633,0.024205328591063332,1.0,1,0
36,13,12,sedan,131,personal,urban,0.3,0.26628701323861964,4,1.0,1,0,535,office_worker,8.20753471779315,0.017130037696146214,1.0,1,1
50,16,4,hatchback,102,personal,urban,0.3,0.06590529103829529,4,0.9,0,1,348,office_worker,4.550078858443246,0.0004211500140540856,1.0,1,1
44,12,1,sedan,142,personal,urban,0.3,0.6331260323467963,4,1.55,0,0,217,office_worker,5.327362861254313,0.0451801472307577,1.0,1,0
34,18,8,suv,147,personal,StPetersburg,0.4,0.6138854555349439,5,0.85,1,0,189,office_worker,5.803700692964295,0.012869728852607105,1.0,1,0
42,10,5,hatchback,84,personal,StPetersburg,0.4,0.26177844323423916,5,0.9,0,2,442,office_worker,7.368814279466805,0.0012083899116719702,1.0,1,1
34,14,6,sedan,171,personal,StPetersburg,0.4,0.5448997036513678,5,0.85,0,1,1011,office_worker,7.676070636830444,0.005716817204496752,3.16,1,0
34,12,3,hatchback,179,personal,rural,0.5,0.6780896910650669,6,0.9,1,0,312,office_worker,7.559407795872412,0.07659455133546221,1.0,1,1
39,22,5,suv,110,personal,Moscow,0.35,0.13547834220861482,5,1.17,2,0,794,office_worker,4.103138635579573,5.2009752489269365e-05,1.0,3,1
22,6,1,crossover,99,personal,Moscow,0.35,0.486618929887487,5,0.9,1,0,234,office_worker,5.692867708046512,0.3189584764364517,1.0,1,1
24,8,14,sedan,127,personal,StPetersburg,0.4,0.5433578321695376,5,0.85,1,0,49,office_worker,9.30290967852547,0.061652149912797403,1.0,2,1
33,7,9,suv,140,personal,urban,0.3,0.295724428733097,4,1.0,0,0,30,office_worker,16.272577446695287,0.014459794590116494,1.0,1,1
29,13,5,crossover,129,personal,Moscow,0.35,0.619559619374567,5,0.85,0,0,30,office_worker,5.597720072450981,0.13148563923022477,1.0,2,0
40,19,8,crossover,137,personal,rural,0.5,0.6089970763922223,6,0.85,0,1,218,office_worker,3.755985002752411,2.1011384445771725e-05,1.0,1,0
30,14,3,hatchback,148,personal,Moscow,0.35,0.09011699558157979,5,1.4,1,0,187,office_worker,3.120594519927837,0.00034449199041236317,1.0,1,0
26,10,9,hatchback,85,personal,rural,0.5,0.25787974801028923,6,1.17,1,1,577,office_worker,7.593325803590336,0.005103022982160082,1.0,1,1
49,12,4,hatchback,89,personal,Moscow,0.35,0.6098479344834166,5,1.55,1,0,619,office_worker,1.6894418979630523,0.003378372705362284,1.0,2,0
36,20,4,suv,60,personal,urban,0.3,0.43074077641441066,4,1.4,0,1,30,office_worker,7.637531706696457,0.04494637950794197,1.0,1,1
38,22,2,hatchback,177,personal,rural,0.5,0.28933853870158416,6,1.0,0,0,114,office_worker,7.7149605909025745,0.005501371572553376,1.0,1,1
26,10,6,hatchback,140,personal,Moscow,0.35,0.4509305794629629,5,0.85,1,0,146,office_worker,3.8438912863303862,0.00019930609933261497,1.0,1,1
33,12,5,hatchback,181,personal,rural,0.5,0.6680329267957857,6,1.17,0,1,361,office_worker,6.155739825740477,0.006574080283185356,1.0,1,1
38,22,11,suv,94,personal,StPetersburg,0.4,0.21988748237213523,5,1.4,0,1,71,office_worker,4.644429202394954,0.12722266174458957,1.0,1,1
28,12,2,suv,140,personal,rural,0.5,0.5194379638696053,6,1.17,1,0,65,office_worker,2.057481162618613,0.17607371050661608,1.0,1,1
41,12,6,sedan,148,personal,urban,0.3,0.5155594482672992,4,1.0,1,1,1095,office_worker,7.31714149594244,0.2965083999105681,1.0,1,0
33,12,10,suv,117,personal,StPetersburg,0.4,0.5600558718377129,5,0.9,2,0,743,office_worker,6.939955296458003,0.00033663019623787115,1.0,1,0
35,13,19,hatchback,77,personal,Moscow,0.35,0.5092353966935705,5,1.4,0,0,90,office_worker,4.041455319166312,0.0019694916754139364,3.16,2,1
